,permno,retx,prc,ldate,mktrf,smb,hml,rf,me,be
2465,10104,0.0431729480624199,40.11000061035156,2017-01-01,0.0194,-0.0113,-0.0274,0.0004,164545.38,47289.0
2466,10104,0.0618299543857575,42.59000015258789,2017-02-01,0.0357,-0.0204,-0.0167,0.0004,174719.22,47289.0
2467,10104,0.047428984194994,44.61000061035156,2017-03-01,0.0017,0.0113,-0.0333,0.0003,183556.06,47289.0
2468,10104,0.0078457398340106,44.95999908447266,2017-04-01,0.0109,0.0072,-0.0213,0.0005,184996.19,47289.0
2469,10104,0.0095640635117888,45.38999938964844,2017-05-01,0.0106,-0.0252,-0.0375,0.0006,186765.5,47289.0
2470,10104,0.1046486049890518,50.13999938964844,2017-06-01,0.0078,0.0223,0.0149,0.0006,207413.23,47289.0
2471,10104,-0.0041882544755936,49.93000030517578,2017-07-01,0.0187,-0.0146,-0.0022,0.0007,206544.53,47289.0
2472,10104,0.0080112461000681,50.33000183105469,2017-08-01,0.0016,-0.0165,-0.0207,0.0009,208199.22,47289.0
2473,10104,-0.0393404178321361,48.34999847412109,2017-09-01,0.0251,0.0445,0.0309,0.0009,201788.05,47289.0
2474,10104,0.0527404993772507,50.90000152587891,2017-10-01,0.0225,-0.0193,0.0022,0.0009,212430.44,47289.0
2475,10104,-0.0361493155360222,49.06000137329102,2017-11-01,0.0312,-0.0056,-0.0005,0.0008,204751.23,53860.0
2476,10104,-0.036282155662775,47.27999877929688,2017-12-01,0.0106,-0.0132,0.0003,0.0009,195720.38,53860.0
2477,10104,0.0911590829491615,51.59000015258789,2018-01-01,0.0558,-0.0318,-0.0136,0.0011,213562.06,53860.0
2478,10104,-0.0178329516202211,50.66999816894531,2018-02-01,-0.0365,0.0026,-0.0103,0.0011,209753.63,53860.0
2479,10104,-0.0970988422632217,45.75,2018-03-01,-0.0235,0.0406,-0.0023,0.0012,186765.81,53860.0
2480,10104,-0.0017486738506705,45.66999816894531,2018-04-01,0.0029,0.011,0.0048,0.0014,186439.23,53860.0
2481,10104,0.0229910910129547,46.72000122070313,2018-05-01,0.0265,0.0531,-0.0313,0.0014,190725.67,53860.0
