AON,Company,Day,permno,ticker,comnam,gvkey,conm,cusip,lpermco
14034,3M Company,20170725,22592,MMM,3M CO,7435,3M CO,88579Y101,21205
38817,3M Company,20170425,22592,MMM,3M CO,7435,3M CO,88579Y101,21205
33439,A.O. Smith Corp,20170726,65402,AOS,SMITH A O CORP,9771,SMITH (A.O.),831865209,21625
59729,Abbott Laboratories,20171018,20482,ABT,ABBOTT LABORATORIES,1078,ABBOTT LABORATORIES,2824100,20017
11628,AbbVie Inc.,20171027,13721,ABBV,ABBVIE INC,16101,ABBVIE INC,00287Y109,54287
28194,AbbVie Inc.,20170728,13721,ABBV,ABBVIE INC,16101,ABBVIE INC,00287Y109,54287
71419,AbbVie Inc.,20170427,13721,ABBV,ABBVIE INC,16101,ABBVIE INC,00287Y109,54287
5895,ABIOMED Inc,20170504,75107,ABMD,ABIOMED INC,13619,ABIOMED INC,3654100,20018
28259,Activision Blizzard,20170209,79678,ATVI,ACTIVISION INC NEW,1111,ACTIVISION INC,4930202,12499
44716,Activision Blizzard,20170504,79678,ATVI,ACTIVISION INC NEW,1111,ACTIVISION INC,4930202,12499
77803,Adobe Systems Inc,20170316,75510,ADBE,ADOBE SYSTEMS INC,12540,ADOBE INC,00724F101,8476
59171,Advance Auto Parts,20170524,89217,AAP,ADVANCE AUTO PARTS INC,145977,ADVANCE AUTO PARTS INC,00751Y106,42402
20729,Advanced Micro Devices Inc,20170725,61241,AMD,ADVANCED MICRO DEVICES INC,1161,ADVANCED MICRO DEVICES,7903107,211
64831,Advanced Micro Devices Inc,20170501,61241,AMD,ADVANCED MICRO DEVICES INC,1161,ADVANCED MICRO DEVICES,7903107,211
88526,Advanced Micro Devices Inc,20171024,61241,AMD,ADVANCED MICRO DEVICES INC,1161,ADVANCED MICRO DEVICES,7903107,211
50247,AES Corp,20171102,76712,AES,A E S CORP,24216,AES CORP (THE),00130H105,10996
67008,AES Corp,20170508,76712,AES,A E S CORP,24216,AES CORP (THE),00130H105,10996
1247,Aetna Inc,20171031,88845,AET,AETNA INC NEW,1177,AETNA INC,00817Y108,41072
30613,Aetna Inc,20170131,88845,AET,AETNA INC NEW,1177,AETNA INC,00817Y108,41072
64145,Aetna Inc,20170502,88845,AET,AETNA INC NEW,1177,AETNA INC,00817Y108,41072
46845,Agilent Technologies Inc,20170214,87432,A,AGILENT TECHNOLOGIES INC,126554,AGILENT TECHNOLOGIES INC,00846U101,36364
30218,Akamai Technologies Inc,20170207,87299,AKAM,AKAMAI TECHNOLOGIES INC,125595,AKAMAI TECHNOLOGIES INC,00971T101,17300
35504,Akamai Technologies Inc,20170502,87299,AKAM,AKAMAI TECHNOLOGIES INC,125595,AKAMAI TECHNOLOGIES INC,00971T101,17300
32834,Alaska Air Group Inc,20171025,87373,ALSK,ALASKA COMMUNICATIONS SYS GRP IN,126555,ALASKA COMMUNICATIONS SYS GP,01167P101,17395
77331,Alaska Air Group Inc,20170208,87373,ALSK,ALASKA COMMUNICATIONS SYS GRP IN,126555,ALASKA COMMUNICATIONS SYS GP,01167P101,17395
38252,Alexion Pharmaceuticals,20171026,83111,ALXN,ALEXION PHARMACEUTICALS INC,62263,ALEXION PHARMACEUTICALS INC,15351109,14394
18353,Align Technology,20170427,88860,ALGN,ALIGN TECHNOLOGY INC,141384,ALIGN TECHNOLOGY INC,16255101,41154
26649,Align Technology,20170131,88860,ALGN,ALIGN TECHNOLOGY INC,141384,ALIGN TECHNOLOGY INC,16255101,41154
71233,Align Technology,20170727,88860,ALGN,ALIGN TECHNOLOGY INC,141384,ALIGN TECHNOLOGY INC,16255101,41154
27514,Allegion,20170209,14297,ALLE,ALLEGION PLC,316056,ALLEGION PLC,G0176J109,54641
44124,Allegion,20170427,14297,ALLE,ALLEGION PLC,316056,ALLEGION PLC,G0176J109,54641
